id,values,provinsi,tahun,dimensi,data_title
36006288101170,67.8,BANTEN,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
36006288101210,60.61,BANTEN,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
51006288071170,75.28,BALI,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
51006288071210,76.14,BALI,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
51006288081170,68.37,BALI,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
51006288081210,58.13,BALI,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
51006288091170,72.53,BALI,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
51006288091210,66.69,BALI,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
51006288101170,71.71,BALI,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
51006288101210,65.98,BALI,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
52006288071170,75.27,NUSA TENGGARA BARAT,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
52006288071210,76.65,NUSA TENGGARA BARAT,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
52006288081170,62.89,NUSA TENGGARA BARAT,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
52006288081210,57.2,NUSA TENGGARA BARAT,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
52006288091170,66.65,NUSA TENGGARA BARAT,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
52006288091210,62.61,NUSA TENGGARA BARAT,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
52006288101170,67.5,NUSA TENGGARA BARAT,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
